source_id,title,authors,year,source_type,venue,url_or_doi,raw_path,processed_path,tags,relevance_note
2107.00913v1,Reinforcement Learning Provides a Flexible Approach for Realistic Supply Chain Safety Stock Optimisation,"Edward Elson Kosasiha, Alexandra Brintrupa aInstitute for Manufacturing, University of Cambridge, United Kingdom",2021,paper,arXiv,https://arxiv.org/abs/2107.00913v1,data/raw/2107.00913v1.pdf,data/processed/2107.00913v1.txt,ai; supply-chain,AI impact on supply chain performance.
2308.11939v1,Retail Demand Forecasting: A Comparative Study for Multivariate Time Series,Unknown,2023,paper,arXiv,https://arxiv.org/abs/2308.11939v1,data/raw/2308.11939v1.pdf,data/processed/2308.11939v1.txt,ai; supply-chain,AI impact on supply chain performance.
2404.07523v1,GNN-BASED PROBABILISTIC SUPPLY AND INVENTORY PREDICTIONS IN SUPPLY CHAIN NETWORKS,"Hyung-il Ahn, Young Chol Song, Santiago Olivar, Hershel Mehta, Naveen Tewari Noodle AI, San Francisco, CA 94104, USA {hyungil.ahn,youngchol.song,santiago.olivar }@noodle.ai {hershel.mehta,naveen.tewari }@noodle.ai",2024,paper,arXiv,https://arxiv.org/abs/2404.07523v1,data/raw/2404.07523v1.pdf,data/processed/2404.07523v1.txt,ai; supply-chain,AI impact on supply chain performance.
2405.15598v5,MCDFN: Supply Chain Demand Forecasting via an Explainable Multi-Channel Data Fusion Network Model,"Md Abrar Jahina, Asef Shahriara, Md Al Amina,c, aDepartment of Industrial Engineering and Management, Khulna University of Engineering and Technology (KUET), Khulna, 9203, Bangladesh bPhysics and Biology Unit, Okinawa Institute of Science and Technology Graduate University (OIST), Okinawa, 904-0412, Japan cDivision of Engineering Management and Decision Sciences, College of Science and Engineering, Hamad Bin Khalifa",2024,paper,arXiv,https://arxiv.org/abs/2405.15598v5,data/raw/2405.15598v5.pdf,data/processed/2405.15598v5.txt,ai; supply-chain,AI impact on supply chain performance.
25.1,"Global Disclosure of Economics and Business, Volume 13, No 1/2024 ISSN 2305-9168 (print); 2307-9592 (online) Supply Chain Optimization: Machine Learning Applications in Inventory Management for E-Commerce","Ferdouse Ara Tuli, Manzoor Anwar Mohammed",2025,paper,Unknown,,data/raw/25.1.pdf,data/processed/25.1.txt,ai; supply-chain,AI impact on supply chain performance.
2501.06221v1,OPTIMIZING SUPPLY CHAIN NETWORKS WITH THE POWER OF GRAPH NEURAL NETWORKS,"Chi-Sheng Chen, Independent Researcher m50816m50816@gmail.com",2025,paper,arXiv,https://arxiv.org/abs/2501.06221v1,data/raw/2501.06221v1.pdf,data/processed/2501.06221v1.txt,ai; supply-chain,AI impact on supply chain performance.
2501.10895v1,Classical and Deep Reinforcement Learning Inventory Control Policies for Pharmaceutical Supply Chains with Perishability and Non-Stationarity,"Francesco Stranieri, Chaaben Kouki, Willem van Jaarsveld, Fabio Stella aUniversity of Milano-Bicocca, Milan, 20126, Italy bPolytechnic of Turin, Turin, 10129, Italy cESSCA School of Management, Angers, 49000, France",2025,paper,arXiv,https://arxiv.org/abs/2501.10895v1,data/raw/2501.10895v1.pdf,data/processed/2501.10895v1.txt,ai; supply-chain,AI impact on supply chain performance.
2505.08673v1,A Study of Data-driven Methods for Inventory Optimization,"Lee Yeung Ping, Patrick Wong, Tan Cheng Han",2025,paper,arXiv,https://arxiv.org/abs/2505.08673v1,data/raw/2505.08673v1.pdf,data/processed/2505.08673v1.txt,ai; supply-chain,AI impact on supply chain performance.
2506.13036v1,Forecast-Then-Optimize Deep Learning Methods,"Jinhang Jiang, Mei Feng, Nan Wu",2025,paper,arXiv,https://arxiv.org/abs/2506.13036v1,data/raw/2506.13036v1.pdf,data/processed/2506.13036v1.txt,ai; supply-chain,AI impact on supply chain performance.
2507.14446v5,Deep RL Dual Sourcing Inventory Management with Supply and Capacity Risk Awareness,"Defeng Liu, Ying Liu, Carson Eisenach",2025,paper,arXiv,https://arxiv.org/abs/2507.14446v5,data/raw/2507.14446v5.pdf,data/processed/2507.14446v5.txt,ai; supply-chain,AI impact on supply chain performance.
2509.03673v1,A Machine Learning-Based Study on the Synergistic Optimization of Supply Chain Management and Financial Supply Chains from an Economic Perspective,"Hang Wang, Huijie Tang, Ningai Leng, Zhoufan Yu",2025,paper,arXiv,https://arxiv.org/abs/2509.03673v1,data/raw/2509.03673v1.pdf,data/processed/2509.03673v1.txt,ai; supply-chain,AI impact on supply chain performance.
2509.03811v2,Rethinking Supply Chain Planning: A Generative Paradigm,"Jiaheng Yin, Yongzhi Qi, Jianshen Zhang, Dongyang Geng, Zhengyu Chen, Hao Hu, Wei Qi, Zuo-Jun Max Shen",2025,paper,arXiv,https://arxiv.org/abs/2509.03811v2,data/raw/2509.03811v2.pdf,data/processed/2509.03811v2.txt,ai; supply-chain,AI impact on supply chain performance.
2511.05569v1,Data-driven jet fuel demand forecasting: A case study of Copenhagen Airport,"Alesssandro Contini, Davide Cacciarelli, Murat Kulahci",2025,paper,arXiv,https://arxiv.org/abs/2511.05569v1,data/raw/2511.05569v1.pdf,data/processed/2511.05569v1.txt,ai; supply-chain,AI impact on supply chain performance.
2511.06479v1,Bridging Theory and Practice: A Stochastic Learning-Optimization Model for Resilient Automotive Supply Chains,Muhammad Shahnawaz,2025,paper,arXiv,https://arxiv.org/abs/2511.06479v1,data/raw/2511.06479v1.pdf,data/processed/2511.06479v1.txt,ai; supply-chain,AI impact on supply chain performance.
2601.05033v1,A DATA-DRIVEN PREDICTIVE FRAMEWORK FOR INVENTORY OPTIMIZATION USING CONTEXT-AUGMENTED MACHINE LEARNING MODELS,"Anees Fatima, Mohammad Abdus Salam",2026,paper,arXiv,https://arxiv.org/abs/2601.05033v1,data/raw/2601.05033v1.pdf,data/processed/2601.05033v1.txt,ai; supply-chain,AI impact on supply chain performance.
2602.05364v1,Hybrid Quantum-Classical Optimization for Multi-Objective Supply Chain Logistics,"Raoul Heese, Timothée Leleu, Sam Reifenstein, Christian Nietner, Yoshihisa Yamamoto",2026,paper,arXiv,https://arxiv.org/abs/2602.05364v1,data/raw/2602.05364v1.pdf,data/processed/2602.05364v1.txt,ai; supply-chain,AI impact on supply chain performance.
